"Program_Code","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Quality","Sustainability","Level"
"AC1560","Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Gender, Feminist & Women's Studies","Graduate Degree","MA","Gertrude Mianda","Martin Singer",5.44,4.3,"Master's"
"AC1570","Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Gender, Feminist & Women's Studies","Graduate Degree","PhD","Gertrude Mianda","Martin Singer",5.44,4.3,"PhD"
"AC1600","Academic","LA&PS","Geography",56800,"Geography","Degree (Major/Minor/Certificate)","BA, iBA","Steven Tufts","Martin Singer",6.16,4.3,"Undergraduate"
"AC1610","Academic","LA&PS","Geography",56800,"Geography and Urban Studies","Degree (Major/Minor/Certificate)","BA","Steven Tufts","Martin Singer",4.89,3.7,"Undergraduate"
"AC1620","Academic","LA&PS","Geography",56800,"Geography","Graduate Degree","MA","Steven Tufts","Martin Singer",5.44,5.08,"Master's"
"AC1630","Academic","LA&PS","Geography",56800,"Geography","Graduate Degree","MSc","Steven Tufts","Martin Singer",5.27,4.83,"Master's"
"AC1640","Academic","LA&PS","Geography",56800,"Geography","Graduate Degree","PhD","Steven Tufts","Martin Singer",5.44,5.08,"PhD"
"AC1660","Academic","LA&PS","History",56850,"History","Degree (Major/Minor/Certificate)","BA, iBA","Marcel Martel","Martin Singer",5.87,3.9,"Undergraduate"
"AC1670","Academic","LA&PS","History",56850,"History","Graduate Degree","MA","Marcel Martel","Martin Singer",5.87,4.6,"Master's"
"AC1680","Academic","LA&PS","History",56850,"History","Graduate Degree","PhD, (Ancient History with UoT)","Marcel Martel","Martin Singer",5.87,4.32,"PhD"
"AC1700","Academic","LA&PS","Human Resources Mgmt",57150,"Human Resources Management","Degree (Major/Minor/Certificate)","BHRM","Marie-Helene Budworth","Martin Singer",6.16,7.23,"Undergraduate"
"AC1710","Academic","LA&PS","Human Resources Mgmt",57150,"Human Resources Management","Graduate Degree","MHRM","Marie-Helene Budworth","Martin Singer",5.44,6.9,"Master's"
"AC1720","Academic","LA&PS","Human Resources Mgmt",57150,"Human Resources Management","Graduate Degree","PhD","Marie-Helene Budworth","Martin Singer",5.61,4.91,"PhD"
"AC1740","Academic","LA&PS","Humanities",56900,"Canadian Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer",3.21,3.2,"Undergraduate"
"AC1750","Academic","LA&PS","Humanities",56900,"Children's Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer",6.15,5.11,"Undergraduate"
"AC1760","Academic","LA&PS","Humanities",56900,"Classical Studies and Classics","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer",3.95,4.37,"Undergraduate"
"AC1770","Academic","LA&PS","Humanities",56900,"Culture & Expression","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer",4.45,3.1,"Undergraduate"
"AC1780","Academic","LA&PS","Humanities",56900,"East Asian Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer",5.01,4.5,"Undergraduate"
"AC1790","Academic","LA&PS","Humanities",56900,"European Studies","Degree (Major/Minor/Certificate)","BA, iBA","Martin Lockshin","Martin Singer",4.56,4.11,"Undergraduate"
"AC1800","Academic","LA&PS","Humanities",56900,"Hellenic Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer",3.11,2.7,"Undergraduate"
"AC1810","Academic","LA&PS","Humanities",56900,"Humanities","Degree (Major/Minor/Certificate)","BA, iBA","Martin Lockshin","Martin Singer",5.37,6.11,"Undergraduate"
"AC1820","Academic","LA&PS","Humanities",56900,"Individualized/Multidisciplinary Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer",3.22,2.7,"Undergraduate"
"AC1830","Academic","LA&PS","Humanities",56900,"Jewish Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer",4.81,4.1,"Undergraduate"
"AC1850","Academic","LA&PS","Science - STS",56900,"Science and Technology Science","Degree (Major/Minor/Certificate)","BA","Joan Steigerwald","Martin Singer",4.56,3.5,"Undergraduate"
"AC1890","Academic","LA&PS","Humanities",56900,"Humanities","Graduate Degree","MA","Martin Lockshin","Martin Singer",5.63,5.32,"Master's"
"AC1900","Academic","LA&PS","Humanities",56900,"Humanities","Graduate Degree","PhD","Martin Lockshin","Martin Singer",5.87,5.31,"PhD"
"AC1910","Academic","LA&PS","Humanities",56900,"Interdisciplinary Studies","Graduate Degree","MA","Martin Lockshin","Martin Singer",5.18,4.88,"Master's"
"AC1920","Academic","LA&PS","Information Technology",57250,"Information Technology","Degree (Major/Minor/Certificate)","BA, BAS","Jimmy Huang","Martin Singer",4.99,5.01,"Undergraduate"
"AC1930","Academic","LA&PS","Information Technology",57250,"Information Systems & Technology","Graduate Degree","MA","Jimmy Huang","Martin Singer",5.01,4.91,"Master's"
"AC1950","Academic","LA&PS","Philosophy",57000,"Cognitive Science","Degree (Major/Minor/Certificate)","BA","Robert Myers","Martin Singer",4.74,4.6,"Undergraduate"
"AC1950","Academic","LA&PS","Philosophy",57000,"Cognitive Science","Degree (Major/Minor/Certificate)","BA","Robert Myers","Martin Singer",4.73,4.6,"Undergraduate"
"AC1960","Academic","LA&PS","Philosophy",57000,"Philosophy","Degree (Major/Minor/Certificate)","BA","Robert Myers","Martin Singer",5.17,5.61,"Undergraduate"
"AC1970","Academic","LA&PS","Philosophy",57000,"Philosophy","Graduate Degree","MA","Robert Myers","Martin Singer",5.16,4.59,"Master's"
"AC1980","Academic","LA&PS","Philosophy",57000,"Philosophy","Graduate Degree","PhD","Robert Myers","Martin Singer",5.37,4.6,"PhD"
"AC2010","Academic","LA&PS","Political Science",57050,"Global Political Studies","Degree (Major/Minor/Certificate)","BA","Ananya Mukherjee-Reed","Martin Singer",5.07,3.99,"Undergraduate"
"AC2020","Academic","LA&PS","Political Science",57050,"Political Science","Degree (Major/Minor/Certificate)","BA, iBA","Ananya Mukherjee-Reed","Martin Singer",6.34,3.93,"Undergraduate"
"AC2030","Academic","LA&PS","Political Science",57050,"Political Science","Graduate Degree","MA","Ananya Mukherjee-Reed","Martin Singer",4.57,4.89,"Master's"
"AC2040","Academic","LA&PS","Political Science",57050,"Political Science","Graduate Degree","PhD","Ananya Mukherjee-Reed","Martin Singer",5,4.11,"PhD"
"AC2060","Academic","LA&PS","Public Policy & Admin",57300,"Public Administration","Degree (Major/Minor/Certificate)","BPA","James C. Simeon","Martin Singer",4.12,3.9,"Undergraduate"
"AC2090","Academic","LA&PS","Public Policy & Admin",57100,"Administrative Studies","Degree (Major/Minor/Certificate)","BAS","Peggy Ng","Martin Singer",4.73,4.6,"Undergraduate"
"AC2090","Academic","LA&PS","Public Policy & Admin",57100,"Administrative Studies","Degree (Major/Minor/Certificate)","BAS","Peggy Ng","Martin Singer",4.74,4.6,"Undergraduate"
"AC2090","Academic","LA&PS","Public Policy & Admin",57100,"Administrative Studies","Degree (Major/Minor/Certificate)","BAS","Peggy Ng","Martin Singer",5.44,8.42,"Undergraduate"
"AC2100","Academic","LA&PS","Public Policy & Admin",57100,"Business","Degree (Major/Minor/Certificate)","","Peggy Ng","Martin Singer",3.59,3.26,"Other"
